Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
60937,0.8174999952316284,0.8175038695335388,0.8175032138824463
60957,0.8174999952316284,0.8175039291381836,0.8175032138824463
60977,0.8174999952316284,0.8175041079521179,0.8175032138824463
60997,0.8174999952316284,0.8175040483474731,0.8175032138824463
61017,0.8174999952316284,0.8175038695335388,0.8175032138824463
61037,0.8174999952316284,0.8175039291381836,0.8175032138824463
61057,0.8174999952316284,0.8175041079521179,0.8175032138824463
61077,0.8174999952316284,0.8175040483474731,0.8175032138824463
61097,0.8174999952316284,0.8175038695335388,0.8175032138824463
61117,0.8174999952316284,0.8175039291381836,0.8175032138824463
61137,0.8174999952316284,0.8175041079521179,0.8175032138824463
61157,0.8174999952316284,0.8175040483474731,0.8175032138824463
61177,0.8174999952316284,0.8175038695335388,0.8175032138824463
61197,0.8174999952316284,0.8175039291381836,0.8175032138824463
61217,0.8174999952316284,0.8175041079521179,0.8175032138824463
61237,0.8174999952316284,0.8175040483474731,0.8175032138824463
61257,0.8174999952316284,0.8175038695335388,0.8175032138824463
61277,0.8174999952316284,0.8175039291381836,0.8175032138824463
61297,0.8174999952316284,0.8175041079521179,0.8175032138824463
61317,0.8174999952316284,0.8175040483474731,0.8175032138824463
61337,0.8174999952316284,0.8175038695335388,0.8175032138824463
61357,0.8174999952316284,0.8175039291381836,0.8175032138824463
61377,0.8174999952316284,0.8175041079521179,0.8175032138824463
61397,0.8174999952316284,0.8175040483474731,0.8175032138824463
61417,0.8174999952316284,0.8175038695335388,0.8175032138824463
61437,0.8174999952316284,0.8175039291381836,0.8175032138824463
61457,0.8174999952316284,0.8175041079521179,0.8175032138824463
61477,0.8174999952316284,0.8175040483474731,0.8175032138824463
61497,0.8174999952316284,0.8175038695335388,0.8175032138824463
61517,0.8174999952316284,0.8175039291381836,0.8175032138824463
61537,0.8174999952316284,0.8175041079521179,0.8175032138824463
61557,0.8174999952316284,0.8175040483474731,0.8175032138824463
61577,0.8174999952316284,0.8175038695335388,0.8175032138824463
61597,0.8174999952316284,0.8175039291381836,0.8175032138824463
61617,0.8174999952316284,0.8175041079521179,0.8175032138824463
61637,0.8174999952316284,0.8175040483474731,0.8175032138824463
61657,0.8174999952316284,0.8175038695335388,0.8175032138824463
61677,0.8174999952316284,0.8175039291381836,0.8175032138824463
61697,0.8174999952316284,0.8175041079521179,0.8175032138824463
61717,0.8174999952316284,0.8175040483474731,0.8175032138824463
61737,0.8174999952316284,0.8175038695335388,0.8175032138824463
61757,0.8174999952316284,0.8175039291381836,0.8175032138824463
61777,0.8174999952316284,0.8175041079521179,0.8175032138824463
61797,0.8174999952316284,0.8175040483474731,0.8175032138824463
61817,0.8174999952316284,0.8175038695335388,0.8175032138824463
61837,0.8174999952316284,0.8175039291381836,0.8175032138824463
61857,0.8174999952316284,0.8175041079521179,0.8175032138824463
61877,0.8174999952316284,0.8175040483474731,0.8175032138824463
61897,0.8174999952316284,0.8175038695335388,0.8175032138824463
61917,0.8174999952316284,0.8175039291381836,0.8175032138824463
61937,0.8174999952316284,0.8175041079521179,0.8175032138824463
61957,0.8174999952316284,0.8175040483474731,0.8175032138824463
61977,0.8174999952316284,0.8175038695335388,0.8175032138824463
61997,0.8174999952316284,0.8175039291381836,0.8175032138824463
62017,0.8174999952316284,0.8175041079521179,0.8175032138824463
62037,0.8174999952316284,0.8175040483474731,0.8175032138824463
62057,0.8174999952316284,0.8175038695335388,0.8175032138824463
62077,0.8174999952316284,0.8175039291381836,0.8175032138824463
62097,0.8174999952316284,0.8175041079521179,0.8175032138824463
62117,0.8174999952316284,0.8175039291381836,0.8175032138824463
62137,0.8174999952316284,0.8175038695335388,0.8175032138824463
62157,0.8174999952316284,0.8175040483474731,0.8175032138824463
62177,0.8174999952316284,0.8175041079521179,0.8175032138824463
62197,0.8174999952316284,0.8175039291381836,0.8175032138824463
62217,0.8174999952316284,0.8175038695335388,0.8175032138824463
62237,0.8174999952316284,0.8175040483474731,0.8175032138824463
