Timestamp,INDI_Outer.posRef_x,INDI_Outer.posS_x,INDI_Outer.velRef_x,INDI_Outer.velS_x
65655,0.5,0.5118332505226135,-0.01419990137219429,0.05424840375781059
65675,0.5,0.5124807357788086,-0.014976883307099342,0.05134492367506027
65695,0.5,0.5141301155090332,-0.016956139355897903,0.05782564356923103
65715,0.5,0.5139883756637573,-0.01678605191409588,0.04772428050637245
65735,0.5,0.5155865550041199,-0.018703866750001907,0.05362479016184807
65755,0.5,0.5162460207939148,-0.019495226442813873,0.0508882999420166
65775,0.5,0.5166999697685242,-0.020039964467287064,0.04613560438156128
65795,0.5,0.5199244022369385,-0.02390928380191326,0.06525380909442902
65815,0.5,0.5213870406150818,-0.025664450600743294,0.06735644489526749
65835,0.5,0.5219807624816895,-0.026376916095614433,0.06159112602472305
65855,0.5,0.5225369334220886,-0.027044320479035378,0.0555303730070591
65875,0.5,0.5239216685295105,-0.028706002980470657,0.0572565458714962
65895,0.5,0.5242353677749634,-0.029082441702485085,0.04997514933347702
65915,0.5,0.5242810249328613,-0.029137231409549713,0.04067027568817139
65935,0.5,0.5253638029098511,-0.03043656423687935,0.041217297315597534
65955,0.5,0.5270115733146667,-0.03241388872265816,0.0455099493265152
65975,0.5,0.5281142592430115,-0.03373711183667183,0.045028697699308395
65995,0.5,0.5296090841293335,-0.035530902445316315,0.048452094197273254
66015,0.5,0.530089795589447,-0.036107756197452545,0.0429808646440506
66035,0.5,0.5303153991699219,-0.03637848049402237,0.03628385066986084
66055,0.5,0.5311172604560852,-0.037340715527534485,0.03512466326355934
66075,0.5,0.5317285060882568,-0.03807421028614044,0.032498009502887726
66095,0.5,0.533122718334198,-0.03974726423621178,0.03742600232362747
66115,0.5,0.5328392386436462,-0.03940708935260773,0.027157418429851532
66135,0.5,0.532631516456604,-0.03915782272815704,0.01881612464785576
66155,0.5,0.5345360636711121,-0.04144327715039253,0.02855510637164116
66175,0.5,0.5349722504615784,-0.04196670278906822,0.025356564670801163
66195,0.5,0.5355085134506226,-0.04261021688580513,0.023769959807395935
66215,0.5,0.5359762907028198,-0.04317155107855797,0.021917233243584633
66235,0.5,0.5359075665473938,-0.04308908060193062,0.016173919662833214
66255,0.5,0.5356171727180481,-0.042740609496831894,0.009372511878609657
66275,0.5,0.5359155535697937,-0.04309866577386856,0.008642704226076603
66295,0.5,0.5354624390602112,-0.04255492985248566,0.0012677597114816308
66315,0.5,0.5354095697402954,-0.04249148443341255,-0.0029970863834023476
66335,0.5,0.5357434749603271,-0.04289217293262482,-0.0022908274549990892
66355,0.5,0.5361807942390442,-0.04341695457696915,-0.0005661100731231272
66375,0.5,0.535413920879364,-0.042496707290410995,-0.008572982624173164
66395,0.5,0.5352015495300293,-0.042241860181093216,-0.011087030172348022
66415,0.5,0.5348091125488281,-0.04177093505859375,-0.014790404587984085
66435,0.5,0.5345147252082825,-0.041417673230171204,-0.017062442377209663
66455,0.5,0.5343426465988159,-0.04121117666363716,-0.01806652545928955
66475,0.5,0.5347152948379517,-0.04165835678577423,-0.01435904297977686
66495,0.5,0.5347253084182739,-0.04167037084698677,-0.014127872884273529
66515,0.5,0.5351702570915222,-0.04220430925488472,-0.009966718032956123
66535,0.5,0.5337381958961487,-0.04048583656549454,-0.020491862669587135
66555,0.5,0.5337839126586914,-0.04054069519042969,-0.017748795449733734
66575,0.5,0.5332075357437134,-0.039849042892456055,-0.019561346620321274
66595,0.5,0.5320885181427002,-0.03850622475147247,-0.02529769204556942
66615,0.5,0.5315632820129395,-0.0378759391605854,-0.02586226537823677
66635,0.5,0.5310938358306885,-0.03731260448694229,-0.02606232650578022
66655,0.5,0.5302835702896118,-0.03634028509259224,-0.028803285211324692
66675,0.5,0.5309486389160156,-0.03713836893439293,-0.019583838060498238
66695,0.5,0.5303027033805847,-0.03636324405670166,-0.02204047329723835
66715,0.5,0.5297643542289734,-0.035717226564884186,-0.022804919630289078
