tick,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.accelz
3279.0,0.0,0.0,0.0,0.0,0.0011611569207161665,-0.0053291828371584415,0.0003192887525074184,1.0097984075546265
3281.0,0.0,0.0,0.0,0.0,-0.0009002854931168258,-0.005402866750955582,0.0009829029440879822,1.0100412368774414
3283.0,0.0,0.0,0.0,0.0,-0.00222548539750278,-0.003979038912802935,-0.0008663776679895818,1.0101616382598877
3285.0,0.0,0.0,0.0,0.0,-0.0012696887133643031,-0.004333942662924528,-0.0017927061999216676,1.0101122856140137
3287.0,0.0,0.0,0.0,0.0,0.00010164533887291327,-0.0026249452494084835,-0.00010527935955906287,1.0099215507507324
3289.0,0.0,0.0,0.0,0.0,0.00042128944187425077,0.00010670351184671745,0.0010334537364542484,1.0097484588623047
3291.0,0.0,0.0,0.0,0.0,-0.0016753962263464928,0.0004676172975450754,0.0009071159875020385,1.009716510772705
3293.0,0.0,0.0,0.0,0.0,-0.0025104833766818047,-0.0010210771579295397,-0.0006216081092134118,1.009629726409912
3295.0,0.0,0.0,0.0,0.0,-0.000526239222381264,-0.0021956872660666704,0.0002089016343234107,1.0092411041259766
3297.0,0.0,0.0,0.0,0.0,0.0027854659128934145,-0.003914546221494675,0.0024738586507737637,1.0085088014602661
3299.0,0.0,0.0,0.0,0.0,0.004954424686729908,-0.0049372389912605286,0.0033838239032775164,1.007651448249817
3301.0,0.0,0.0,0.0,0.0,0.004113913048058748,-0.003231839742511511,0.002812687773257494,1.0074101686477661
3303.0,0.0,0.0,0.0,0.0,0.0031747494358569384,-0.003120344365015626,0.001333448220975697,1.0079548358917236
3305.0,0.0,0.0,0.0,0.0,0.0016467180103063583,-0.005317917559295893,0.00010977569036185741,1.0085779428482056
3307.0,0.0,0.0,0.0,0.0,-0.0008215028210543096,-0.005517460871487856,-0.0023103419225662947,1.0090751647949219
3309.0,0.0,0.0,0.0,0.0,0.00032574727083556354,-0.0018378251697868109,-0.0022138438653200865,1.0096731185913086
3311.0,0.0,0.0,0.0,0.0,0.004474586341530085,-0.00019048471585847437,-8.285031071864069e-05,1.010090947151184
3313.0,0.0,0.0,0.0,0.0,0.003268809989094734,3.570179978851229e-05,-0.0008416424971073866,1.0104395151138306
3315.0,0.0,0.0,0.0,0.0,-0.0022062750067561865,0.0035803038626909256,-0.0012259650975465775,1.0109071731567383
3317.0,0.0,0.0,0.0,0.0,-0.0028381552547216415,0.005132463760674,-0.0005778561462648213,1.0114710330963135
3319.0,0.0,0.0,0.0,0.0,-0.0003477173449937254,0.0036000884138047695,-0.000260268832789734,1.011975646018982
3321.0,0.0,0.0,0.0,0.0,0.0015663071535527706,0.001786048524081707,0.000703712401445955,1.0122781991958618
3323.0,0.0,0.0,0.0,0.0,0.0035246217157691717,0.0005844580009579659,0.002855950966477394,1.012203574180603
3325.0,0.0,0.0,0.0,0.0,0.0026079441886395216,-0.0002457028313074261,0.0033475407399237156,1.0106128454208374
3327.0,0.0,0.0,0.0,0.0,-0.0009510298259556293,4.3513031414477155e-05,0.001159712322987616,1.0082327127456665
3329.0,0.0,0.0,0.0,0.0,-0.0010824280325323343,-0.00038409893750213087,-0.0005036891088820994,1.0060275793075562
3331.0,0.0,0.0,0.0,0.0,0.0010107116540893912,-0.0010862909257411957,-0.0010632708435878158,1.0041447877883911
