tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
40572.0,0.032755132764577866,0.2640301287174225,0.014282510615885258,40023.0,-3464.0,-629.0,-2893.0,1.0002260208129883
40574.0,0.042615875601768494,0.24930454790592194,0.011140911839902401,40023.0,-3618.0,-529.0,-2829.0,1.002671480178833
40576.0,0.04019046574831009,0.24413955211639404,0.010227520950138569,40023.0,-2595.0,-834.0,-2919.0,1.0079054832458496
40578.0,0.03741147741675377,0.23596586287021637,0.008951321244239807,40023.0,-2685.0,-800.0,-2856.0,1.0068919658660889
40580.0,0.03521846607327461,0.2357569932937622,0.006516754627227783,40023.0,-2596.0,-1084.0,-2943.0,1.0056071281433105
40582.0,0.02970051020383835,0.2289656549692154,0.004890075419098139,40023.0,-2416.0,-815.0,-2904.0,1.0049567222595215
40584.0,0.021151861175894737,0.22980721294879913,0.005151358898729086,40023.0,-1991.0,-1090.0,-2951.0,1.0032708644866943
40586.0,0.015019744634628296,0.23163212835788727,0.009240234270691872,40023.0,-2180.0,-1500.0,-2851.0,1.0053558349609375
40588.0,0.012328277342021465,0.22770950198173523,0.010216627269983292,40023.0,-2329.0,-736.0,-2915.0,1.0045948028564453
40590.0,0.0028055747970938683,0.22982898354530334,0.006255115382373333,40023.0,-1782.0,-1506.0,-2886.0,1.0020655393600464
40592.0,-0.013640481047332287,0.23213410377502441,0.0031445855274796486,40023.0,-1010.0,-1263.0,-2963.0,1.0007520914077759
40594.0,-0.03484165295958519,0.2378011792898178,0.0025346819311380386,40023.0,-366.0,-1904.0,-2928.0,0.9998220801353455
40596.0,-0.050697408616542816,0.23486946523189545,0.005098876543343067,40023.0,-543.0,-948.0,-2949.0,0.9980999827384949
40598.0,-0.06722601503133774,0.24526400864124298,0.005326471757143736,40023.0,-185.0,-2387.0,-2891.0,0.9969157576560974
40600.0,-0.08593044430017471,0.25787776708602905,0.007069367449730635,40023.0,9715.0,-31084.0,-2935.0,0.9999256730079651
40602.0,-0.1027834564447403,0.2661136984825134,0.011532744392752647,40023.0,2032.0,-7442.0,-2811.0,1.0011812448501587
40604.0,-0.1177794486284256,0.270149827003479,0.012119918130338192,40023.0,1982.0,-6878.0,-2898.0,1.0044723749160767
40606.0,-0.13620468974113464,0.27515190839767456,0.011208426207304,40023.0,2721.0,-7442.0,-2811.0,1.0041110515594482
40608.0,-0.15433025360107422,0.2901575565338135,0.010250203311443329,40023.0,2773.0,-8038.0,-2908.0,1.002468466758728
40610.0,-0.17329461872577667,0.29970186948776245,0.012742361053824425,40023.0,3414.0,-8252.0,-2784.0,1.0012930631637573
40612.0,-0.19536593556404114,0.30540692806243896,0.018202023580670357,40023.0,3704.0,-7689.0,-2851.0,0.9970590472221375
40614.0,-0.21971724927425385,0.30311277508735657,0.020588742569088936,40023.0,4631.0,-7553.0,-2685.0,0.9986668229103088
40616.0,-0.23839667439460754,0.3002574145793915,0.019148392602801323,40023.0,4161.0,-7102.0,-2840.0,0.9995524883270264
40618.0,-0.25043603777885437,0.3067138195037842,0.017347652465105057,40023.0,4341.0,-8340.0,-2716.0,1.0031253099441528
40620.0,-0.25490671396255493,0.30521875619888306,0.017303403466939926,40023.0,3478.0,-7372.0,-2849.0,1.0037676095962524
40622.0,-0.2579396367073059,0.2937815487384796,0.01942436210811138,40023.0,3916.0,-6949.0,-2691.0,1.0020536184310913
40624.0,-0.2618468999862671,0.2688286602497101,0.021195892244577408,40023.0,3639.0,-5267.0,-2819.0,0.9990510940551758
40626.0,-0.2718994915485382,0.2522886097431183,0.02129284478724003,40023.0,4742.0,-6000.0,-2677.0,0.9968070387840271
40628.0,-0.2849000096321106,0.23456928133964539,0.024565212428569794,40023.0,4729.0,-5372.0,-2792.0,0.995140016078949
40630.0,-0.2916094660758972,0.21568827331066132,0.02556329034268856,40023.0,4937.0,-5314.0,-2629.0,0.9904732704162598
40632.0,-0.29653528332710266,0.20398300886154175,0.022976066917181015,40023.0,4436.0,-5427.0,-2798.0,0.9872959852218628
40634.0,-0.3047812283039093,0.19596397876739502,0.024716520681977272,40023.0,5384.0,-5835.0,-2638.0,0.9845355153083801
40636.0,-0.3102373480796814,0.1954699158668518,0.0277632474899292,40023.0,14171.0,-32767.0,-2761.0,0.9888046979904175
40638.0,-0.30797383189201355,0.1881665587425232,0.030247870832681656,40023.0,6393.0,-10675.0,-2570.0,0.9971494674682617
40640.0,-0.3021088242530823,0.17591184377670288,0.02996525913476944,40023.0,5587.0,-9988.0,-2741.0,1.0043706893920898
40642.0,-0.29496949911117554,0.15302744507789612,0.02571116015315056,40023.0,5970.0,-9073.0,-2628.0,1.0105756521224976
40644.0,-0.2825162708759308,0.13149957358837128,0.02294466830790043,40023.0,4971.0,-8768.0,-2785.0,1.0102754831314087
40646.0,-0.2685241103172302,0.1131170317530632,0.023725289851427078,40023.0,5174.0,-8814.0,-2660.0,1.0096698999404907
40648.0,-0.2521790862083435,0.08593349903821945,0.024602649733424187,40023.0,4382.0,-7771.0,-2771.0,1.0079960823059082
40650.0,-0.23655708134174347,0.05963072553277016,0.026454932987689972,40023.0,4657.0,-7429.0,-2638.0,1.007865309715271
40660.0,-0.13701239228248596,-0.08678353577852249,0.02237582579255104,40023.0,2782.0,-5236.0,-2779.0,1.0081819295883179
40662.0,-0.11716686189174652,-0.11930229514837265,0.022118639200925827,40023.0,2662.0,-4081.0,-2734.0,1.005030632019043
40664.0,-0.09914904087781906,-0.1551978886127472,0.020575962960720062,40023.0,2404.0,-3677.0,-2791.0,1.007670521736145
40666.0,-0.08168622106313705,-0.1902061551809311,0.017370063811540604,40023.0,2303.0,-2698.0,-2809.0,1.009882926940918
40668.0,-0.06183519959449768,-0.21591602265834808,0.015443520620465279,40023.0,1777.0,-3460.0,-2827.0,1.0133905410766602
40670.0,-0.03388125076889992,-0.24880626797676086,0.01470731571316719,40023.0,806.0,-1810.0,-2857.0,1.0132807493209839
40672.0,-0.00709081394597888,-0.2718496322631836,0.01600456051528454,40023.0,513.0,-2745.0,-2825.0,1.0125718116760254
40674.0,0.021667689085006714,-0.300262451171875,0.019994936883449554,40023.0,18603.0,-29842.0,-2809.0,1.0115556716918945
